pitcher,name,starts,bf,k_per_pa,proj_mean_k,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,fair_4plus,fair_5plus,fair_6plus,fair_7plus,fair_8plus,fair_9plus
671096,"Abbott, Andrew",69,23,0.2014,4.63,0.7093,0.5063,0.3117,0.1643,0.0741,0.0286,1.41,1.98,3.21,6.08,13.5,35.01
702056,"Yesavage, Trey",12,20,0.2312,4.62,0.7128,0.5066,0.3082,0.159,0.0693,0.0254,1.4,1.97,3.24,6.29,14.43,39.32
801403,"Dollander, Chase",29,22,0.2096,4.61,0.707,0.5024,0.307,0.1602,0.0712,0.0269,1.41,1.99,3.26,6.24,14.05,37.14
693855,"Seymour, Ian",11,19,0.2419,4.6,0.7099,0.5016,0.3021,0.1536,0.0655,0.0234,1.41,1.99,3.31,6.51,15.26,42.73
687075,"Sproat, Brandon",17,21,0.2183,4.59,0.704,0.4975,0.3014,0.1553,0.0679,0.0251,1.42,2.01,3.32,6.44,14.74,39.83
694477,"Patrick, Chad",33,20,0.2297,4.59,0.7074,0.5002,0.3024,0.155,0.067,0.0244,1.41,2.0,3.31,6.45,14.92,40.95
608337,"Giolito, Lucas",31,23,0.1996,4.59,0.7018,0.4973,0.3036,0.1586,0.0708,0.027,1.42,2.01,3.29,6.31,14.13,37.02
506433,"Darvish, Yu",31,20,0.2291,4.58,0.7053,0.4976,0.3001,0.1534,0.0662,0.024,1.42,2.01,3.33,6.52,15.12,41.62
690990,"Horton, Cade",23,22,0.2077,4.57,0.6995,0.4934,0.299,0.1545,0.068,0.0255,1.43,2.03,3.34,6.47,14.71,39.29
641745,"Keller, Brad",6,20,0.2281,4.56,0.7016,0.4933,0.2963,0.1507,0.0647,0.0234,1.43,2.03,3.38,6.63,15.46,42.78
605488,"Springs, Jeffrey",54,22,0.2074,4.56,0.6984,0.4921,0.2978,0.1537,0.0675,0.0252,1.43,2.03,3.36,6.5,14.81,39.61
669432,"Rogers, Trevor",55,23,0.1979,4.55,0.6949,0.4892,0.2963,0.1535,0.0679,0.0257,1.44,2.04,3.38,6.52,14.73,38.98
690953,"Abel, Mick",14,20,0.2275,4.55,0.6995,0.4908,0.2941,0.1492,0.0639,0.023,1.43,2.04,3.4,6.7,15.66,43.47
